contenu_textuel_extrait,contenu_textuel_nettoye,tokens,stemmed_tokens,lemmatized_tokens
"2 Centre for Orthodontic Mini-Implants at the Department and Clinic of Maxillofacial Orthopedics and Orthodontics, Poznan University of Medical Sciences, 60-812 Poznan, Poland.",2 centre for orthodontic miniimplants at the department and clinic of maxillofacial orthopedics and orthodontics poznan university of medical sciences 60812 poznan poland,"['2', 'centre', 'for', 'orthodontic', 'miniimplants', 'at', 'the', 'department', 'and', 'clinic', 'of', 'maxillofacial', 'orthopedics', 'and', 'orthodontics', 'poznan', 'university', 'of', 'medical', 'sciences', '60812', 'poznan', 'poland']","['2', 'centr', 'for', 'orthodont', 'miniimpl', 'at', 'the', 'depart', 'and', 'clinic', 'of', 'maxillofaci', 'orthoped', 'and', 'orthodont', 'poznan', 'univers', 'of', 'medic', 'scienc', '60812', 'poznan', 'poland']","['2', 'centre', 'for', 'orthodontic', 'miniimplants', 'at', 'the', 'department', 'and', 'clinic', 'of', 'maxillofacial', 'orthopedics', 'and', 'orthodontics', 'poznan', 'university', 'of', 'medical', 'science', '60812', 'poznan', 'poland']"
PMID:,pmid,['pmid'],['pmid'],['pmid']
36361634,36361634,['36361634'],['36361634'],['36361634']
PMCID:,pmcid,['pmcid'],['pmcid'],['pmcid']
PMC9654063,pmc9654063,['pmc9654063'],['pmc9654063'],['pmc9654063']
DOI:,doi,['doi'],['doi'],['doi']
10.3390/ijms232112844,103390ijms232112844,['103390ijms232112844'],['103390ijms232112844'],['103390ijms232112844']
Item in Clipboard,item in clipboard,"['item', 'in', 'clipboard']","['item', 'in', 'clipboard']","['item', 'in', 'clipboard']"
Full text links,full text links,"['full', 'text', 'links']","['full', 'text', 'link']","['full', 'text', 'link']"
CiteDisplay options,citedisplay options,"['citedisplay', 'options']","['citedisplay', 'option']","['citedisplay', 'option']"
Display options,display options,"['display', 'options']","['display', 'option']","['display', 'option']"
Format,format,['format'],['format'],['format']
AbstractPubMedPMID,abstractpubmedpmid,['abstractpubmedpmid'],['abstractpubmedpmid'],['abstractpubmedpmid']
Abstract,abstract,['abstract'],['abstract'],['abstract']
"Currently, breast cancer appears to be the most widespread cancer in the world and the most common cause of cancer deaths. This specific type of cancer affects women in both developed and developing countries. Prevention and early diagnosis are very important factors for good prognosis. A characteristic feature of cancer cells is the ability of unlimited cell division, which makes them immortal. Telomeres, which are shortened with each cell division in normal cells, are rebuilt in cancer cells by the enzyme telomerase, which is expressed in more than 85% of cancers (up to 100% of adenocarcinomas, including breast cancer). Telomerase may have different functions that are related to telomeres or unrelated. It has been shown that high activity of the enzyme in cancer cells is associated with poor cell sensitivity to therapies. Therefore, telomerase has become a potential target for cancer therapies. The low efficacy of therapies has resulted in the search for new combined and more effective therapeutic methods, including the involvement of telomerase inhibitors and telomerase-targeted immunotherapy.",currently breast cancer appears to be the most widespread cancer in the world and the most common cause of cancer deaths this specific type of cancer affects women in both developed and developing countries prevention and early diagnosis are very important factors for good prognosis a characteristic feature of cancer cells is the ability of unlimited cell division which makes them immortal telomeres which are shortened with each cell division in normal cells are rebuilt in cancer cells by the enzyme telomerase which is expressed in more than 85 of cancers up to 100 of adenocarcinomas including breast cancer telomerase may have different functions that are related to telomeres or unrelated it has been shown that high activity of the enzyme in cancer cells is associated with poor cell sensitivity to therapies therefore telomerase has become a potential target for cancer therapies the low efficacy of therapies has resulted in the search for new combined and more effective therapeutic methods including the involvement of telomerase inhibitors and telomerasetargeted immunotherapy,"['currently', 'breast', 'cancer', 'appears', 'to', 'be', 'the', 'most', 'widespread', 'cancer', 'in', 'the', 'world', 'and', 'the', 'most', 'common', 'cause', 'of', 'cancer', 'deaths', 'this', 'specific', 'type', 'of', 'cancer', 'affects', 'women', 'in', 'both', 'developed', 'and', 'developing', 'countries', 'prevention', 'and', 'early', 'diagnosis', 'are', 'very', 'important', 'factors', 'for', 'good', 'prognosis', 'a', 'characteristic', 'feature', 'of', 'cancer', 'cells', 'is', 'the', 'ability', 'of', 'unlimited', 'cell', 'division', 'which', 'makes', 'them', 'immortal', 'telomeres', 'which', 'are', 'shortened', 'with', 'each', 'cell', 'division', 'in', 'normal', 'cells', 'are', 'rebuilt', 'in', 'cancer', 'cells', 'by', 'the', 'enzyme', 'telomerase', 'which', 'is', 'expressed', 'in', 'more', 'than', '85', 'of', 'cancers', 'up', 'to', '100', 'of', 'adenocarcinomas', 'including', 'breast', 'cancer', 'telomerase', 'may', 'have', 'different', 'functions', 'that', 'are', 'related', 'to', 'telomeres', 'or', 'unrelated', 'it', 'has', 'been', 'shown', 'that', 'high', 'activity', 'of', 'the', 'enzyme', 'in', 'cancer', 'cells', 'is', 'associated', 'with', 'poor', 'cell', 'sensitivity', 'to', 'therapies', 'therefore', 'telomerase', 'has', 'become', 'a', 'potential', 'target', 'for', 'cancer', 'therapies', 'the', 'low', 'efficacy', 'of', 'therapies', 'has', 'resulted', 'in', 'the', 'search', 'for', 'new', 'combined', 'and', 'more', 'effective', 'therapeutic', 'methods', 'including', 'the', 'involvement', 'of', 'telomerase', 'inhibitors', 'and', 'telomerasetargeted', 'immunotherapy']","['current', 'breast', 'cancer', 'appear', 'to', 'be', 'the', 'most', 'widespread', 'cancer', 'in', 'the', 'world', 'and', 'the', 'most', 'common', 'caus', 'of', 'cancer', 'death', 'thi', 'specif', 'type', 'of', 'cancer', 'affect', 'women', 'in', 'both', 'develop', 'and', 'develop', 'countri', 'prevent', 'and', 'earli', 'diagnosi', 'are', 'veri', 'import', 'factor', 'for', 'good', 'prognosi', 'a', 'characterist', 'featur', 'of', 'cancer', 'cell', 'is', 'the', 'abil', 'of', 'unlimit', 'cell', 'divis', 'which', 'make', 'them', 'immort', 'telomer', 'which', 'are', 'shorten', 'with', 'each', 'cell', 'divis', 'in', 'normal', 'cell', 'are', 'rebuilt', 'in', 'cancer', 'cell', 'by', 'the', 'enzym', 'telomeras', 'which', 'is', 'express', 'in', 'more', 'than', '85', 'of', 'cancer', 'up', 'to', '100', 'of', 'adenocarcinoma', 'includ', 'breast', 'cancer', 'telomeras', 'may', 'have', 'differ', 'function', 'that', 'are', 'relat', 'to', 'telomer', 'or', 'unrel', 'it', 'ha', 'been', 'shown', 'that', 'high', 'activ', 'of', 'the', 'enzym', 'in', 'cancer', 'cell', 'is', 'associ', 'with', 'poor', 'cell', 'sensit', 'to', 'therapi', 'therefor', 'telomeras', 'ha', 'becom', 'a', 'potenti', 'target', 'for', 'cancer', 'therapi', 'the', 'low', 'efficaci', 'of', 'therapi', 'ha', 'result', 'in', 'the', 'search', 'for', 'new', 'combin', 'and', 'more', 'effect', 'therapeut', 'method', 'includ', 'the', 'involv', 'of', 'telomeras', 'inhibitor', 'and', 'telomerasetarget', 'immunotherapi']","['currently', 'breast', 'cancer', 'appears', 'to', 'be', 'the', 'most', 'widespread', 'cancer', 'in', 'the', 'world', 'and', 'the', 'most', 'common', 'cause', 'of', 'cancer', 'death', 'this', 'specific', 'type', 'of', 'cancer', 'affect', 'woman', 'in', 'both', 'developed', 'and', 'developing', 'country', 'prevention', 'and', 'early', 'diagnosis', 'are', 'very', 'important', 'factor', 'for', 'good', 'prognosis', 'a', 'characteristic', 'feature', 'of', 'cancer', 'cell', 'is', 'the', 'ability', 'of', 'unlimited', 'cell', 'division', 'which', 'make', 'them', 'immortal', 'telomere', 'which', 'are', 'shortened', 'with', 'each', 'cell', 'division', 'in', 'normal', 'cell', 'are', 'rebuilt', 'in', 'cancer', 'cell', 'by', 'the', 'enzyme', 'telomerase', 'which', 'is', 'expressed', 'in', 'more', 'than', '85', 'of', 'cancer', 'up', 'to', '100', 'of', 'adenocarcinoma', 'including', 'breast', 'cancer', 'telomerase', 'may', 'have', 'different', 'function', 'that', 'are', 'related', 'to', 'telomere', 'or', 'unrelated', 'it', 'ha', 'been', 'shown', 'that', 'high', 'activity', 'of', 'the', 'enzyme', 'in', 'cancer', 'cell', 'is', 'associated', 'with', 'poor', 'cell', 'sensitivity', 'to', 'therapy', 'therefore', 'telomerase', 'ha', 'become', 'a', 'potential', 'target', 'for', 'cancer', 'therapy', 'the', 'low', 'efficacy', 'of', 'therapy', 'ha', 'resulted', 'in', 'the', 'search', 'for', 'new', 'combined', 'and', 'more', 'effective', 'therapeutic', 'method', 'including', 'the', 'involvement', 'of', 'telomerase', 'inhibitor', 'and', 'telomerasetargeted', 'immunotherapy']"
Keywords:,keywords,['keywords'],['keyword'],['keywords']
breast cancer; resistance; telomerase; therapy.,breast cancer resistance telomerase therapy,"['breast', 'cancer', 'resistance', 'telomerase', 'therapy']","['breast', 'cancer', 'resist', 'telomeras', 'therapi']","['breast', 'cancer', 'resistance', 'telomerase', 'therapy']"
PubMed Disclaimer,pubmed disclaimer,"['pubmed', 'disclaimer']","['pubm', 'disclaim']","['pubmed', 'disclaimer']"
Conflict of interest statement,conflict of interest statement,"['conflict', 'of', 'interest', 'statement']","['conflict', 'of', 'interest', 'statement']","['conflict', 'of', 'interest', 'statement']"
The authors declare no conflict of interest.,the authors declare no conflict of interest,"['the', 'authors', 'declare', 'no', 'conflict', 'of', 'interest']","['the', 'author', 'declar', 'no', 'conflict', 'of', 'interest']","['the', 'author', 'declare', 'no', 'conflict', 'of', 'interest']"
Figures,figures,['figures'],['figur'],['figure']
Figure 1,figure 1,"['figure', '1']","['figur', '1']","['figure', '1']"
"Association between hTERT, key signaling…",association between htert key signaling,"['association', 'between', 'htert', 'key', 'signaling']","['associ', 'between', 'htert', 'key', 'signal']","['association', 'between', 'htert', 'key', 'signaling']"
Figure 1,figure 1,"['figure', '1']","['figur', '1']","['figure', '1']"
"Association between hTERT, key signaling pathways, and senescence (acc. [21,22,39], modified). The hTERT…",association between htert key signaling pathways and senescence acc 212239 modified the htert,"['association', 'between', 'htert', 'key', 'signaling', 'pathways', 'and', 'senescence', 'acc', '212239', 'modified', 'the', 'htert']","['associ', 'between', 'htert', 'key', 'signal', 'pathway', 'and', 'senesc', 'acc', '212239', 'modifi', 'the', 'htert']","['association', 'between', 'htert', 'key', 'signaling', 'pathway', 'and', 'senescence', 'acc', '212239', 'modified', 'the', 'htert']"
Figure 1,figure 1,"['figure', '1']","['figur', '1']","['figure', '1']"
"Association between hTERT, key signaling pathways, and senescence (acc. [21,22,39], modified). The hTERT subunit of telomerase can be involved in various metabolic pathways (e.g., NFκB, Wnt/β-catenin, and adhesion as well as senescence) and affect the expression of various genes. Under the influence of stress, hTERT is translocated to mitochondria, where hTERT protects mitochondrial metabolism by lowering the level of ROS and binding to mtDNA.",association between htert key signaling pathways and senescence acc 212239 modified the htert subunit of telomerase can be involved in various metabolic pathways eg nfκb wntβcatenin and adhesion as well as senescence and affect the expression of various genes under the influence of stress htert is translocated to mitochondria where htert protects mitochondrial metabolism by lowering the level of ros and binding to mtdna,"['association', 'between', 'htert', 'key', 'signaling', 'pathways', 'and', 'senescence', 'acc', '212239', 'modified', 'the', 'htert', 'subunit', 'of', 'telomerase', 'can', 'be', 'involved', 'in', 'various', 'metabolic', 'pathways', 'eg', 'nfκb', 'wntβcatenin', 'and', 'adhesion', 'as', 'well', 'as', 'senescence', 'and', 'affect', 'the', 'expression', 'of', 'various', 'genes', 'under', 'the', 'influence', 'of', 'stress', 'htert', 'is', 'translocated', 'to', 'mitochondria', 'where', 'htert', 'protects', 'mitochondrial', 'metabolism', 'by', 'lowering', 'the', 'level', 'of', 'ros', 'and', 'binding', 'to', 'mtdna']","['associ', 'between', 'htert', 'key', 'signal', 'pathway', 'and', 'senesc', 'acc', '212239', 'modifi', 'the', 'htert', 'subunit', 'of', 'telomeras', 'can', 'be', 'involv', 'in', 'variou', 'metabol', 'pathway', 'eg', 'nfκb', 'wntβcatenin', 'and', 'adhes', 'as', 'well', 'as', 'senesc', 'and', 'affect', 'the', 'express', 'of', 'variou', 'gene', 'under', 'the', 'influenc', 'of', 'stress', 'htert', 'is', 'transloc', 'to', 'mitochondria', 'where', 'htert', 'protect', 'mitochondri', 'metabol', 'by', 'lower', 'the', 'level', 'of', 'ro', 'and', 'bind', 'to', 'mtdna']","['association', 'between', 'htert', 'key', 'signaling', 'pathway', 'and', 'senescence', 'acc', '212239', 'modified', 'the', 'htert', 'subunit', 'of', 'telomerase', 'can', 'be', 'involved', 'in', 'various', 'metabolic', 'pathway', 'eg', 'nfκb', 'wntβcatenin', 'and', 'adhesion', 'a', 'well', 'a', 'senescence', 'and', 'affect', 'the', 'expression', 'of', 'various', 'gene', 'under', 'the', 'influence', 'of', 'stress', 'htert', 'is', 'translocated', 'to', 'mitochondrion', 'where', 'htert', 'protects', 'mitochondrial', 'metabolism', 'by', 'lowering', 'the', 'level', 'of', 'ro', 'and', 'binding', 'to', 'mtdna']"
See this image and copyright information in PMC,see this image and copyright information in pmc,"['see', 'this', 'image', 'and', 'copyright', 'information', 'in', 'pmc']","['see', 'thi', 'imag', 'and', 'copyright', 'inform', 'in', 'pmc']","['see', 'this', 'image', 'and', 'copyright', 'information', 'in', 'pmc']"
Similar articles,similar articles,"['similar', 'articles']","['similar', 'articl']","['similar', 'article']"
Complex roles for telomeres and telomerase in breast carcinogenesis.,complex roles for telomeres and telomerase in breast carcinogenesis,"['complex', 'roles', 'for', 'telomeres', 'and', 'telomerase', 'in', 'breast', 'carcinogenesis']","['complex', 'role', 'for', 'telomer', 'and', 'telomeras', 'in', 'breast', 'carcinogenesi']","['complex', 'role', 'for', 'telomere', 'and', 'telomerase', 'in', 'breast', 'carcinogenesis']"
Artandi SE.,artandi se,"['artandi', 'se']","['artandi', 'se']","['artandi', 'se']"
Artandi SE.,artandi se,"['artandi', 'se']","['artandi', 'se']","['artandi', 'se']"
Breast Cancer Res. 2003;5(1):37-41. doi: 10.1186/bcr553. Epub 2002 Oct 29.,breast cancer res 2003513741 doi 101186bcr553 epub 2002 oct 29,"['breast', 'cancer', 'res', '2003513741', 'doi', '101186bcr553', 'epub', '2002', 'oct', '29']","['breast', 'cancer', 're', '2003513741', 'doi', '101186bcr553', 'epub', '2002', 'oct', '29']","['breast', 'cancer', 're', '2003513741', 'doi', '101186bcr553', 'epub', '2002', 'oct', '29']"
Breast Cancer Res. 2003.,breast cancer res 2003,"['breast', 'cancer', 'res', '2003']","['breast', 'cancer', 're', '2003']","['breast', 'cancer', 're', '2003']"
PMID: 12559044,pmid 12559044,"['pmid', '12559044']","['pmid', '12559044']","['pmid', '12559044']"
Free PMC article.,free pmc article,"['free', 'pmc', 'article']","['free', 'pmc', 'articl']","['free', 'pmc', 'article']"
Telomeres and telomerase: understanding basic structure and potential new therapeutic strategies targeting it in the treatment of cancer.,telomeres and telomerase understanding basic structure and potential new therapeutic strategies targeting it in the treatment of cancer,"['telomeres', 'and', 'telomerase', 'understanding', 'basic', 'structure', 'and', 'potential', 'new', 'therapeutic', 'strategies', 'targeting', 'it', 'in', 'the', 'treatment', 'of', 'cancer']","['telomer', 'and', 'telomeras', 'understand', 'basic', 'structur', 'and', 'potenti', 'new', 'therapeut', 'strategi', 'target', 'it', 'in', 'the', 'treatment', 'of', 'cancer']","['telomere', 'and', 'telomerase', 'understanding', 'basic', 'structure', 'and', 'potential', 'new', 'therapeutic', 'strategy', 'targeting', 'it', 'in', 'the', 'treatment', 'of', 'cancer']"
Sekhri K.,sekhri k,"['sekhri', 'k']","['sekhri', 'k']","['sekhri', 'k']"
Sekhri K.,sekhri k,"['sekhri', 'k']","['sekhri', 'k']","['sekhri', 'k']"
J Postgrad Med. 2014 Jul-Sep;60(3):303-8. doi: 10.4103/0022-3859.138797.,j postgrad med 2014 julsep6033038 doi 10410300223859138797,"['j', 'postgrad', 'med', '2014', 'julsep6033038', 'doi', '10410300223859138797']","['j', 'postgrad', 'med', '2014', 'julsep6033038', 'doi', '10410300223859138797']","['j', 'postgrad', 'med', '2014', 'julsep6033038', 'doi', '10410300223859138797']"
J Postgrad Med. 2014.,j postgrad med 2014,"['j', 'postgrad', 'med', '2014']","['j', 'postgrad', 'med', '2014']","['j', 'postgrad', 'med', '2014']"
PMID: 25121374,pmid 25121374,"['pmid', '25121374']","['pmid', '25121374']","['pmid', '25121374']"
Review.,review,['review'],['review'],['review']
"[Telomeres, telomerase and cancer].",telomeres telomerase and cancer,"['telomeres', 'telomerase', 'and', 'cancer']","['telomer', 'telomeras', 'and', 'cancer']","['telomere', 'telomerase', 'and', 'cancer']"
"Soria JC, Rixe O.",soria jc rixe o,"['soria', 'jc', 'rixe', 'o']","['soria', 'jc', 'rix', 'o']","['soria', 'jc', 'rixe', 'o']"
"Soria JC, et al.",soria jc et al,"['soria', 'jc', 'et', 'al']","['soria', 'jc', 'et', 'al']","['soria', 'jc', 'et', 'al']"
Bull Cancer. 1997 Oct;84(10):963-70.,bull cancer 1997 oct841096370,"['bull', 'cancer', '1997', 'oct841096370']","['bull', 'cancer', '1997', 'oct841096370']","['bull', 'cancer', '1997', 'oct841096370']"
Bull Cancer. 1997.,bull cancer 1997,"['bull', 'cancer', '1997']","['bull', 'cancer', '1997']","['bull', 'cancer', '1997']"
PMID: 9435798,pmid 9435798,"['pmid', '9435798']","['pmid', '9435798']","['pmid', '9435798']"
Review.,review,['review'],['review'],['review']
French.,french,['french'],['french'],['french']
Telomerase and breast cancer.,telomerase and breast cancer,"['telomerase', 'and', 'breast', 'cancer']","['telomeras', 'and', 'breast', 'cancer']","['telomerase', 'and', 'breast', 'cancer']"
"Herbert BS, Wright WE, Shay JW.",herbert bs wright we shay jw,"['herbert', 'bs', 'wright', 'we', 'shay', 'jw']","['herbert', 'bs', 'wright', 'we', 'shay', 'jw']","['herbert', 'b', 'wright', 'we', 'shay', 'jw']"
"Herbert BS, et al.",herbert bs et al,"['herbert', 'bs', 'et', 'al']","['herbert', 'bs', 'et', 'al']","['herbert', 'b', 'et', 'al']"
Breast Cancer Res. 2001;3(3):146-9. doi: 10.1186/bcr288. Epub 2001 Feb 22.,breast cancer res 2001331469 doi 101186bcr288 epub 2001 feb 22,"['breast', 'cancer', 'res', '2001331469', 'doi', '101186bcr288', 'epub', '2001', 'feb', '22']","['breast', 'cancer', 're', '2001331469', 'doi', '101186bcr288', 'epub', '2001', 'feb', '22']","['breast', 'cancer', 're', '2001331469', 'doi', '101186bcr288', 'epub', '2001', 'feb', '22']"
Breast Cancer Res. 2001.,breast cancer res 2001,"['breast', 'cancer', 'res', '2001']","['breast', 'cancer', 're', '2001']","['breast', 'cancer', 're', '2001']"
PMID: 11305948,pmid 11305948,"['pmid', '11305948']","['pmid', '11305948']","['pmid', '11305948']"
Free PMC article.,free pmc article,"['free', 'pmc', 'article']","['free', 'pmc', 'articl']","['free', 'pmc', 'article']"
Review.,review,['review'],['review'],['review']
Telomere biology of pediatric cancer.,telomere biology of pediatric cancer,"['telomere', 'biology', 'of', 'pediatric', 'cancer']","['telomer', 'biolog', 'of', 'pediatr', 'cancer']","['telomere', 'biology', 'of', 'pediatric', 'cancer']"
"Tabori U, Dome JS.",tabori u dome js,"['tabori', 'u', 'dome', 'js']","['tabori', 'u', 'dome', 'js']","['tabori', 'u', 'dome', 'j']"
"Tabori U, et al.",tabori u et al,"['tabori', 'u', 'et', 'al']","['tabori', 'u', 'et', 'al']","['tabori', 'u', 'et', 'al']"
Cancer Invest. 2007 Apr-May;25(3):197-208. doi: 10.1080/07357900701208683.,cancer invest 2007 aprmay253197208 doi 10108007357900701208683,"['cancer', 'invest', '2007', 'aprmay253197208', 'doi', '10108007357900701208683']","['cancer', 'invest', '2007', 'aprmay253197208', 'doi', '10108007357900701208683']","['cancer', 'invest', '2007', 'aprmay253197208', 'doi', '10108007357900701208683']"
Cancer Invest. 2007.,cancer invest 2007,"['cancer', 'invest', '2007']","['cancer', 'invest', '2007']","['cancer', 'invest', '2007']"
PMID: 17530490,pmid 17530490,"['pmid', '17530490']","['pmid', '17530490']","['pmid', '17530490']"
Review.,review,['review'],['review'],['review']
See all similar articles,see all similar articles,"['see', 'all', 'similar', 'articles']","['see', 'all', 'similar', 'articl']","['see', 'all', 'similar', 'article']"
Cited by,cited by,"['cited', 'by']","['cite', 'by']","['cited', 'by']"
Low-power red laser and blue LED modulate telomere maintenance and length in human breast cancer cells.,lowpower red laser and blue led modulate telomere maintenance and length in human breast cancer cells,"['lowpower', 'red', 'laser', 'and', 'blue', 'led', 'modulate', 'telomere', 'maintenance', 'and', 'length', 'in', 'human', 'breast', 'cancer', 'cells']","['lowpow', 'red', 'laser', 'and', 'blue', 'led', 'modul', 'telomer', 'mainten', 'and', 'length', 'in', 'human', 'breast', 'cancer', 'cell']","['lowpower', 'red', 'laser', 'and', 'blue', 'led', 'modulate', 'telomere', 'maintenance', 'and', 'length', 'in', 'human', 'breast', 'cancer', 'cell']"
"Farias TG, Santos MSD, Mencalha AL, da Fonseca AS.",farias tg santos msd mencalha al da fonseca as,"['farias', 'tg', 'santos', 'msd', 'mencalha', 'al', 'da', 'fonseca', 'as']","['faria', 'tg', 'santo', 'msd', 'mencalha', 'al', 'da', 'fonseca', 'as']","['farias', 'tg', 'santos', 'msd', 'mencalha', 'al', 'da', 'fonseca', 'a']"
"Farias TG, et al.",farias tg et al,"['farias', 'tg', 'et', 'al']","['faria', 'tg', 'et', 'al']","['farias', 'tg', 'et', 'al']"
Lasers Med Sci. 2024 Oct 7;39(1):248. doi: 10.1007/s10103-024-04194-w.,lasers med sci 2024 oct 7391248 doi 101007s1010302404194w,"['lasers', 'med', 'sci', '2024', 'oct', '7391248', 'doi', '101007s1010302404194w']","['laser', 'med', 'sci', '2024', 'oct', '7391248', 'doi', '101007s1010302404194w']","['laser', 'med', 'sci', '2024', 'oct', '7391248', 'doi', '101007s1010302404194w']"
Lasers Med Sci. 2024.,lasers med sci 2024,"['lasers', 'med', 'sci', '2024']","['laser', 'med', 'sci', '2024']","['laser', 'med', 'sci', '2024']"
PMID: 39370492,pmid 39370492,"['pmid', '39370492']","['pmid', '39370492']","['pmid', '39370492']"
Obesity-Senescence-Breast Cancer: Clinical Presentation of a Common Unfortunate Cycle.,obesitysenescencebreast cancer clinical presentation of a common unfortunate cycle,"['obesitysenescencebreast', 'cancer', 'clinical', 'presentation', 'of', 'a', 'common', 'unfortunate', 'cycle']","['obesitysenescencebreast', 'cancer', 'clinic', 'present', 'of', 'a', 'common', 'unfortun', 'cycl']","['obesitysenescencebreast', 'cancer', 'clinical', 'presentation', 'of', 'a', 'common', 'unfortunate', 'cycle']"
"Engin AB, Engin A.",engin ab engin a,"['engin', 'ab', 'engin', 'a']","['engin', 'ab', 'engin', 'a']","['engin', 'ab', 'engin', 'a']"
"Engin AB, et al.",engin ab et al,"['engin', 'ab', 'et', 'al']","['engin', 'ab', 'et', 'al']","['engin', 'ab', 'et', 'al']"
Adv Exp Med Biol. 2024;1460:821-850. doi: 10.1007/978-3-031-63657-8_27.,adv exp med biol 20241460821850 doi 1010079783031636578_27,"['adv', 'exp', 'med', 'biol', '20241460821850', 'doi', '1010079783031636578_27']","['adv', 'exp', 'med', 'biol', '20241460821850', 'doi', '1010079783031636578_27']","['adv', 'exp', 'med', 'biol', '20241460821850', 'doi', '1010079783031636578_27']"
Adv Exp Med Biol. 2024.,adv exp med biol 2024,"['adv', 'exp', 'med', 'biol', '2024']","['adv', 'exp', 'med', 'biol', '2024']","['adv', 'exp', 'med', 'biol', '2024']"
PMID: 39287873,pmid 39287873,"['pmid', '39287873']","['pmid', '39287873']","['pmid', '39287873']"
Review.,review,['review'],['review'],['review']
Impact of Molecular Profiling on Therapy Management in Breast Cancer.,impact of molecular profiling on therapy management in breast cancer,"['impact', 'of', 'molecular', 'profiling', 'on', 'therapy', 'management', 'in', 'breast', 'cancer']","['impact', 'of', 'molecular', 'profil', 'on', 'therapi', 'manag', 'in', 'breast', 'cancer']","['impact', 'of', 'molecular', 'profiling', 'on', 'therapy', 'management', 'in', 'breast', 'cancer']"
"Ultimescu F, Hudita A, Popa DE, Olinca M, Muresean HA, Ceausu M, Stanciu DI, Ginghina O, Galateanu B.",ultimescu f hudita a popa de olinca m muresean ha ceausu m stanciu di ginghina o galateanu b,"['ultimescu', 'f', 'hudita', 'a', 'popa', 'de', 'olinca', 'm', 'muresean', 'ha', 'ceausu', 'm', 'stanciu', 'di', 'ginghina', 'o', 'galateanu', 'b']","['ultimescu', 'f', 'hudita', 'a', 'popa', 'de', 'olinca', 'm', 'muresean', 'ha', 'ceausu', 'm', 'stanciu', 'di', 'ginghina', 'o', 'galateanu', 'b']","['ultimescu', 'f', 'hudita', 'a', 'popa', 'de', 'olinca', 'm', 'muresean', 'ha', 'ceausu', 'm', 'stanciu', 'di', 'ginghina', 'o', 'galateanu', 'b']"
"Ultimescu F, et al.",ultimescu f et al,"['ultimescu', 'f', 'et', 'al']","['ultimescu', 'f', 'et', 'al']","['ultimescu', 'f', 'et', 'al']"
J Clin Med. 2024 Aug 23;13(17):4995. doi: 10.3390/jcm13174995.,j clin med 2024 aug 2313174995 doi 103390jcm13174995,"['j', 'clin', 'med', '2024', 'aug', '2313174995', 'doi', '103390jcm13174995']","['j', 'clin', 'med', '2024', 'aug', '2313174995', 'doi', '103390jcm13174995']","['j', 'clin', 'med', '2024', 'aug', '2313174995', 'doi', '103390jcm13174995']"
J Clin Med. 2024.,j clin med 2024,"['j', 'clin', 'med', '2024']","['j', 'clin', 'med', '2024']","['j', 'clin', 'med', '2024']"
PMID: 39274207,pmid 39274207,"['pmid', '39274207']","['pmid', '39274207']","['pmid', '39274207']"
Free PMC article.,free pmc article,"['free', 'pmc', 'article']","['free', 'pmc', 'articl']","['free', 'pmc', 'article']"
Review.,review,['review'],['review'],['review']
All-trans-retinoic acid modulates glycolysis via H19 and telomerase: the role of mir-let-7a in estrogen receptor-positive breast cancer cells.,alltransretinoic acid modulates glycolysis via h19 and telomerase the role of mirlet7a in estrogen receptorpositive breast cancer cells,"['alltransretinoic', 'acid', 'modulates', 'glycolysis', 'via', 'h19', 'and', 'telomerase', 'the', 'role', 'of', 'mirlet7a', 'in', 'estrogen', 'receptorpositive', 'breast', 'cancer', 'cells']","['alltransretino', 'acid', 'modul', 'glycolysi', 'via', 'h19', 'and', 'telomeras', 'the', 'role', 'of', 'mirlet7a', 'in', 'estrogen', 'receptorposit', 'breast', 'cancer', 'cell']","['alltransretinoic', 'acid', 'modulates', 'glycolysis', 'via', 'h19', 'and', 'telomerase', 'the', 'role', 'of', 'mirlet7a', 'in', 'estrogen', 'receptorpositive', 'breast', 'cancer', 'cell']"
"El Habre R, Aoun R, Tahtouh R, Hilal G.",el habre r aoun r tahtouh r hilal g,"['el', 'habre', 'r', 'aoun', 'r', 'tahtouh', 'r', 'hilal', 'g']","['el', 'habr', 'r', 'aoun', 'r', 'tahtouh', 'r', 'hilal', 'g']","['el', 'habre', 'r', 'aoun', 'r', 'tahtouh', 'r', 'hilal', 'g']"
"El Habre R, et al.",el habre r et al,"['el', 'habre', 'r', 'et', 'al']","['el', 'habr', 'r', 'et', 'al']","['el', 'habre', 'r', 'et', 'al']"
BMC Cancer. 2024 May 21;24(1):615. doi: 10.1186/s12885-024-12379-3.,bmc cancer 2024 may 21241615 doi 101186s12885024123793,"['bmc', 'cancer', '2024', 'may', '21241615', 'doi', '101186s12885024123793']","['bmc', 'cancer', '2024', 'may', '21241615', 'doi', '101186s12885024123793']","['bmc', 'cancer', '2024', 'may', '21241615', 'doi', '101186s12885024123793']"
BMC Cancer. 2024.,bmc cancer 2024,"['bmc', 'cancer', '2024']","['bmc', 'cancer', '2024']","['bmc', 'cancer', '2024']"
PMID: 38773429,pmid 38773429,"['pmid', '38773429']","['pmid', '38773429']","['pmid', '38773429']"
Free PMC article.,free pmc article,"['free', 'pmc', 'article']","['free', 'pmc', 'articl']","['free', 'pmc', 'article']"
