contenu_textuel_extrait,contenu_textuel_nettoye,tokens
All-trans-retinoic acid modulates glycolysis via H19 and telomerase: the role of mir-let-7a in estrogen receptor-positive breast cancer cells.,alltransretinoic acid modulates glycolysis via h19 and telomerase the role of mirlet7a in estrogen receptorpositive breast cancer cells,"['alltransretinoic', 'acid', 'modulates', 'glycolysis', 'via', 'h19', 'and', 'telomerase', 'the', 'role', 'of', 'mirlet7a', 'in', 'estrogen', 'receptorpositive', 'breast', 'cancer', 'cells']"
"El Habre R, Aoun R, Tahtouh R, Hilal G.",el habre r aoun r tahtouh r hilal g,"['el', 'habre', 'r', 'aoun', 'r', 'tahtouh', 'r', 'hilal', 'g']"
"El Habre R, et al.",el habre r et al,"['el', 'habre', 'r', 'et', 'al']"
BMC Cancer. 2024 May 21;24(1):615. doi: 10.1186/s12885-024-12379-3.,bmc cancer 2024 may 21241615 doi 101186s12885024123793,"['bmc', 'cancer', '2024', 'may', '21241615', 'doi', '101186s12885024123793']"
BMC Cancer. 2024.,bmc cancer 2024,"['bmc', 'cancer', '2024']"
PMID: 38773429,pmid 38773429,"['pmid', '38773429']"
Free PMC article.,free pmc article,"['free', 'pmc', 'article']"
Generation and application of immortalized sheep fetal fibroblast cell line.,generation and application of immortalized sheep fetal fibroblast cell line,"['generation', 'and', 'application', 'of', 'immortalized', 'sheep', 'fetal', 'fibroblast', 'cell', 'line']"
"Du G, Zhang C, Cao X, Li L, Zhang Y, Shang Y, Wu J.",du g zhang c cao x li l zhang y shang y wu j,"['du', 'g', 'zhang', 'c', 'cao', 'x', 'li', 'l', 'zhang', 'y', 'shang', 'y', 'wu', 'j']"
"Du G, et al.",du g et al,"['du', 'g', 'et', 'al']"
BMC Vet Res. 2024 May 14;20(1):198. doi: 10.1186/s12917-024-04054-3.,bmc vet res 2024 may 14201198 doi 101186s12917024040543,"['bmc', 'vet', 'res', '2024', 'may', '14201198', 'doi', '101186s12917024040543']"
BMC Vet Res. 2024.,bmc vet res 2024,"['bmc', 'vet', 'res', '2024']"
PMID: 38745180,pmid 38745180,"['pmid', '38745180']"
Free PMC article.,free pmc article,"['free', 'pmc', 'article']"
"See all ""Cited by"" articles",see all cited by articles,"['see', 'all', 'cited', 'by', 'articles']"
References,references,['references']
"Sung H., Ferlay J., Siegel R.L., Laversanne M., Soerjomataram I., Jemal A., Bray F. Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries. CA Cancer J. Clin. 2021;71:209–249. doi: 10.3322/caac.21660.",sung h ferlay j siegel rl laversanne m soerjomataram i jemal a bray f global cancer statistics 2020 globocan estimates of incidence and mortality worldwide for 36 cancers in 185 countries ca cancer j clin 202171209249 doi 103322caac21660,"['sung', 'h', 'ferlay', 'j', 'siegel', 'rl', 'laversanne', 'm', 'soerjomataram', 'i', 'jemal', 'a', 'bray', 'f', 'global', 'cancer', 'statistics', '2020', 'globocan', 'estimates', 'of', 'incidence', 'and', 'mortality', 'worldwide', 'for', '36', 'cancers', 'in', '185', 'countries', 'ca', 'cancer', 'j', 'clin', '202171209249', 'doi', '103322caac21660']"
-,,[]
DOI,doi,['doi']
-,,[]
PubMed,pubmed,['pubmed']
"GLOBOCAN 2020 Estimated Number of Incident Cases and Deaths Worldwide, Females, All Ages (excl. NMSC) [(accessed on 14 April 2022)]. Available online: https://gco.iarc.fr/today/online-analysis-multi-bars?v=2020&mode=cancer&....",globocan 2020 estimated number of incident cases and deaths worldwide females all ages excl nmsc accessed on 14 april 2022 available online,"['globocan', '2020', 'estimated', 'number', 'of', 'incident', 'cases', 'and', 'deaths', 'worldwide', 'females', 'all', 'ages', 'excl', 'nmsc', 'accessed', 'on', '14', 'april', '2022', 'available', 'online']"
"Bryś M., Laskowska M., Forma E., Krześlak A. Telomeraza—Struktura i Funkcja Oraz Regulacja Ekspresji Genu. Folia Med. Lodz. 2012;39:293–326.",bryś m laskowska m forma e krześlak a telomerazastruktura i funkcja oraz regulacja ekspresji genu folia med lodz 201239293326,"['bryś', 'm', 'laskowska', 'm', 'forma', 'e', 'krześlak', 'a', 'telomerazastruktura', 'i', 'funkcja', 'oraz', 'regulacja', 'ekspresji', 'genu', 'folia', 'med', 'lodz', '201239293326']"
"Xu Y., Goldkorn A. Telomere and Telomerase Therapeutics in Cancer. Genes. 2016;7:22. doi: 10.3390/genes7060022.",xu y goldkorn a telomere and telomerase therapeutics in cancer genes 2016722 doi 103390genes7060022,"['xu', 'y', 'goldkorn', 'a', 'telomere', 'and', 'telomerase', 'therapeutics', 'in', 'cancer', 'genes', '2016722', 'doi', '103390genes7060022']"
-,,[]
DOI,doi,['doi']
-,,[]
PMC,pmc,['pmc']
-,,[]
PubMed,pubmed,['pubmed']
"Krzakowski K., Krzemieniecki K. Wybrane Nowotwory: Rak Piersi. In: Gajewski P., Szczeklik A., editors. Interna Szczeklika. Medycyna Praktyczna; Kraków, Poland: 2017. pp. 2325–2329.",krzakowski k krzemieniecki k wybrane nowotwory rak piersi in gajewski p szczeklik a editors interna szczeklika medycyna praktyczna kraków poland 2017 pp 23252329,"['krzakowski', 'k', 'krzemieniecki', 'k', 'wybrane', 'nowotwory', 'rak', 'piersi', 'in', 'gajewski', 'p', 'szczeklik', 'a', 'editors', 'interna', 'szczeklika', 'medycyna', 'praktyczna', 'kraków', 'poland', '2017', 'pp', '23252329']"
Show all 105 references,show all 105 references,"['show', 'all', '105', 'references']"
Publication types,publication types,"['publication', 'types']"
Review,review,['review']
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
MeSH terms,mesh terms,"['mesh', 'terms']"
Breast Neoplasms* / drug therapy,breast neoplasms drug therapy,"['breast', 'neoplasms', 'drug', 'therapy']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Breast Neoplasms* / genetics,breast neoplasms genetics,"['breast', 'neoplasms', 'genetics']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Enzyme Inhibitors / therapeutic use,enzyme inhibitors therapeutic use,"['enzyme', 'inhibitors', 'therapeutic', 'use']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Female,female,['female']
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Humans,humans,['humans']
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Immunotherapy,immunotherapy,['immunotherapy']
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Neoplasms* / pathology,neoplasms pathology,"['neoplasms', 'pathology']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Telomerase* / metabolism,telomerase metabolism,"['telomerase', 'metabolism']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Telomere / metabolism,telomere metabolism,"['telomere', 'metabolism']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Substances,substances,['substances']
Telomerase,telomerase,['telomerase']
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Enzyme Inhibitors,enzyme inhibitors,"['enzyme', 'inhibitors']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']"
Related information,related information,"['related', 'information']"
MedGen,medgen,['medgen']
Grants and funding,grants and funding,"['grants', 'and', 'funding']"
This work was funded by Poznan University of Medical Sciences.,this work was funded by poznan university of medical sciences,"['this', 'work', 'was', 'funded', 'by', 'poznan', 'university', 'of', 'medical', 'sciences']"
LinkOut - more resources,linkout more resources,"['linkout', 'more', 'resources']"
Full Text Sources,full text sources,"['full', 'text', 'sources']"
Europe PubMed Central,europe pubmed central,"['europe', 'pubmed', 'central']"
MDPI,mdpi,['mdpi']
PubMed Central,pubmed central,"['pubmed', 'central']"
Medical,medical,['medical']
MedlinePlus Health Information,medlineplus health information,"['medlineplus', 'health', 'information']"
Full text links,full text links,"['full', 'text', 'links']"
[x],x,['x']
MDPI,mdpi,['mdpi']
Free PMC article,free pmc article,"['free', 'pmc', 'article']"
[x],x,['x']
Cite,cite,['cite']
Copy,copy,['copy']
Download .nbib,download nbib,"['download', 'nbib']"
.nbib,nbib,['nbib']
Format:,format,['format']
AMA,ama,['ama']
APA,apa,['apa']
MLA,mla,['mla']
NLM,nlm,['nlm']
Send To,send to,"['send', 'to']"
Clipboard,clipboard,['clipboard']
Email,email,['email']
Save,save,['save']
My Bibliography,my bibliography,"['my', 'bibliography']"
Collections,collections,['collections']
Citation Manager,citation manager,"['citation', 'manager']"
[x],x,['x']
NCBI Literature Resources,ncbi literature resources,"['ncbi', 'literature', 'resources']"
MeSH,mesh,['mesh']
PMC,pmc,['pmc']
Bookshelf,bookshelf,['bookshelf']
Disclaimer,disclaimer,['disclaimer']
The PubMed wordmark and PubMed logo are registered trademarks of the U.S. Department of Health and Human Services (HHS). Unauthorized use of these marks is strictly prohibited.,the pubmed wordmark and pubmed logo are registered trademarks of the us department of health and human services hhs unauthorized use of these marks is strictly prohibited,"['the', 'pubmed', 'wordmark', 'and', 'pubmed', 'logo', 'are', 'registered', 'trademarks', 'of', 'the', 'us', 'department', 'of', 'health', 'and', 'human', 'services', 'hhs', 'unauthorized', 'use', 'of', 'these', 'marks', 'is', 'strictly', 'prohibited']"
Follow NCBI,follow ncbi,"['follow', 'ncbi']"
Twitter,twitter,['twitter']
Facebook,facebook,['facebook']
LinkedIn,linkedin,['linkedin']
GitHub,github,['github']
Connect with NLM,connect with nlm,"['connect', 'with', 'nlm']"
Twitter,twitter,['twitter']
SM-Facebook,smfacebook,['smfacebook']
SM-Youtube,smyoutube,['smyoutube']
National Library of Medicine,national library of medicine,"['national', 'library', 'of', 'medicine']"
8600 Rockville Pike,8600 rockville pike,"['8600', 'rockville', 'pike']"
"Bethesda, MD 20894",bethesda md 20894,"['bethesda', 'md', '20894']"
Web Policies,web policies,"['web', 'policies']"
FOIA,foia,['foia']
HHS Vulnerability Disclosure,hhs vulnerability disclosure,"['hhs', 'vulnerability', 'disclosure']"
Help,help,['help']
Accessibility,accessibility,['accessibility']
Careers,careers,['careers']
NLM,nlm,['nlm']
NIH,nih,['nih']
HHS,hhs,['hhs']
USA.gov,usagov,['usagov']
